"ImageId","Label"
"0","6"
"1","9"
"2","3"
"3","2"
"4","9"
"5","9"
"6","1"
"7","0"
"8","2"
"9","1"
"10","9"
"11","5"
"12","2"
"13","5"
"14","9"
"15","6"
"16","6"
"17","1"
"18","4"
"19","4"
"20","6"
"21","6"
"22","9"
"23","1"
"24","4"
"25","8"
"26","6"
"27","2"
"28","0"
"29","8"
"30","5"
"31","1"
"32","6"
"33","7"
"34","6"
"35","2"
"36","6"
"37","6"
"38","6"
"39","7"
"40","9"
"41","7"
"42","5"
"43","4"
"44","0"
"45","1"
"46","7"
"47","9"
"48","9"
"49","7"
"50","1"
"51","4"
"52","5"
"53","4"
"54","9"
"55","7"
"56","4"
"57","8"
"58","9"
"59","6"
"60","6"
"61","8"
"62","0"
"63","3"
"64","0"
"65","5"
"66","3"
"67","1"
"68","4"
"69","4"
"70","6"
"71","7"
"72","1"
"73","1"
"74","7"
"75","6"
"76","0"
"77","9"
"78","6"
"79","9"
"80","8"
"81","2"
"82","8"
"83","8"
"84","5"
"85","3"
"86","0"
"87","6"
"88","1"
"89","7"
"90","4"
"91","5"
"92","6"
"93","7"
"94","3"
"95","9"
"96","0"
"97","4"
"98","3"
"99","1"
"100","4"
"101","3"
"102","6"
"103","8"
"104","2"
"105","3"
"106","8"
"107","6"
"108","3"
"109","2"
"110","5"
"111","5"
"112","3"
"113","4"
"114","7"
"115","3"
"116","6"
"117","3"
"118","5"
"119","9"
"120","0"
"121","0"
"122","2"
"123","8"
"124","1"
"125","8"
"126","9"
"127","7"
"128","0"
"129","7"
"130","9"
"131","3"
"132","6"
"133","2"
"134","9"
"135","1"
"136","3"
"137","6"
"138","2"
"139","1"
"140","5"
"141","2"
"142","7"
"143","1"
"144","1"
"145","3"
"146","7"
"147","4"
"148","0"
"149","7"
"150","6"
"151","2"
"152","0"
"153","0"
"154","8"
"155","4"
"156","0"
"157","2"
"158","7"
"159","4"
"160","4"
"161","6"
"162","0"
"163","5"
"164","4"
"165","2"
"166","0"
"167","0"
"168","3"
"169","8"
"170","3"
"171","6"
"172","4"
"173","4"
"174","5"
